Region,Sector,End Use,Tech,Attributes,Value,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Alberta,,,,,,,,,,,,,,,,
,Residential,,,,,,,,,,,,,,,
,,Heating,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Single Family_Standard Shell_Electric baseboard,,,,,,,,,,,,,
,,,,LCC,,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987,3.987
,,,,CC,,3.919,3.919,3.919,3.919,3.919,3.919,3.919,3.919,3.919,3.919,3.919
,,,,CRF,,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251
,,,,OM,,0,0,0,0,0,0,0,0,0,0,0
,,,,EC,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
,,,,SC,,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,Market Share,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Single family_Standard shell_Natural Gas furnace,,,,,,,,,,,,,
,,,,LCC,,2.885,2.885,2.885,2.885,2.885,2.885,2.885,2.885,2.885,2.885,2.885
,,,,CC,,2.845,2.845,2.845,2.845,2.845,2.845,2.845,2.845,2.845,2.845,2.845
,,,,CRF,,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251
,,,,OM,,0,0,0,0,0,0,0,0,0,0,0
,,,,EC,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
,,,,SC,,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,Market Share,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Commercial,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Heating,,,,,,,,,,,,,,
,,,Retail_Standard Shell_Electric baseboard,,,,,,,,,,,,,
,,,,LCC,,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295,2.295
,,,,CC,,2.221,2.221,2.221,2.221,2.221,2.221,2.221,2.221,2.221,2.221,2.221
,,,,CRF,,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251
,,,,OM,,0,0,0,0,0,0,0,0,0,0,0
,,,,EC,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
,,,,SC,,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,Market Share,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Retail_Standard shell_Natural Gas furnace,,,,,,,,,,,,,
,,,,LCC,,1.630,1.630,1.630,1.630,1.630,1.630,1.630,1.630,1.630,1.630,1.630
,,,,CC,,1.612,1.612,1.612,1.612,1.612,1.612,1.612,1.612,1.612,1.612,1.612
,,,,CRF,,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251,0.251
,,,,OM,,0,0,0,0,0,0,0,0,0,0,0
,,,,EC,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
,,,,SC,,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,Market Share,,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Electricity,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Electricity,,,,,,,,,,,,,,
,,,Baseload_Natural Gas_Combined Cycle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Baseload_Wind,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Natural Gas Extraction,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Natural Gas,,,,,,,,,,,,,,
,,,Processing,,,,,,,,,,,,,
