Group,Energy,Unit,Equivalent to,Source
energy terms,,1.0 Terawatt-hours (TW.h),1 x 1012 Watt-hours (W.h),CER Conversions
energy terms,,1.0 Terawatt-hours (TW.h),1 x 109 Kilowatt-hours (kW.h),CER Conversions
energy terms,,1.0 Terawatt-hours (TW.h),1 x 106 Megawatt-hours (MW.h),CER Conversions
energy terms,,1.0 Terawatt-hours (TW.h),"1,000 Gigawatt-hours (GW.h)",CER Conversions
energy terms,,1.0 Cubic feet (cf) natural gas,1.0551 x 10-3 Gigajoules (GJ),CER Conversions
energy terms,,1.0 Cubic feet (cf) natural gas,1 x 10-3 Million British thermal units (MMBtu),CER Conversions
energy terms,,1.0 Cubic metres (m³) natural gas,0.0373 Gigajoules (GJ),CER Conversions
energy terms,,1.0 Cubic metres (m³) natural gas,0.0353 Million British thermal units (MMBtu),CER Conversions
energy terms,,1.0 Therms (thm),1 x 105 British thermal units (Btu),CER Conversions
energy terms,,1.0 Therms (thm),0.10 Million British thermal units (MMBtu),CER Conversions
energy terms,,1.0 Dekatherms (dth),10 Therms (thm),CER Conversions
energy terms,,1.0 Dekatherms (dth),1 Million British thermal units (MMBtu),CER Conversions
liquefied natural gas (lng),,1.0 Cubic metres (m³) natural gas,35.301 Cubic feet (cf) natural gas,CER Conversions
liquefied natural gas (lng),,1.0 Cubic metres (m³) natural gas,1.7111 x 10-3 Cubic metres (m³) LNG,CER Conversions
liquefied natural gas (lng),,1.0 Cubic metres (m³) natural gas,7.2487 x 10-4 Tonnes (t) LNG,CER Conversions
liquefied natural gas (lng),,1.0 Cubic metres (m³) LNG,2.0631 x 104 Cubic feet (cf) natural gas,CER Conversions
liquefied natural gas (lng),,1.0 Cubic metres (m³) LNG,584.431 Cubic metres (m³) natural gas,CER Conversions
liquefied natural gas (lng),,1.0 Cubic metres (m³) LNG,0.4049 Tonnes (t) LNG,CER Conversions
liquefied natural gas (lng),,1.0 Cubic metres (m³) LNG,2.0631 x 10-5 Billion cubic feet (Bcf) natural gas,CER Conversions
liquefied natural gas (lng),,1.0 Tonnes (t) LNG,"1,379.549 Cubic metres (m³) natural gas",CER Conversions
liquefied natural gas (lng),,1.0 Tonnes (t) LNG,2.4697 Cubic metres (m³) LNG,CER Conversions
liquefied natural gas (lng),,1.0 Tonnes (t) LNG,4.8699 x 104 Cubic feet (cf) natural gas,CER Conversions
liquefied natural gas (lng),,1.0 Cubic feet (cf) natural gas,2.0531 x 10-5 Tonnes (t) LNG,CER Conversions
liquefied natural gas (lng),,1.0 Tonnes LNG per year,133.4232 Cubic feet natural gas per day (cf/d),CER Conversions
liquefied natural gas (lng),,1.0 Million Tonnes LNG per year,0.1334 Billion cubic feet natural gas per day (Bcf/d),CER Conversions
liquefied natural gas (lng),,1.0 Billion cubic feet (Bcf) natural gas,4.8471 x 104 Cubic metres (m³) LNG,CER Conversions
liquefied natural gas (lng),,1.0 Billion cubic feet natural gas per day (Bcf/d),7.495 Million tonnes LNG per year,CER Conversions
approximate energy content,Anthracite,1.0 Tonnes (t),27.70 Gigajoules (GJ),CER Conversions
approximate energy content,Bituminous,1.0 Tonnes (t),27.60 Gigajoules (GJ),CER Conversions
approximate energy content,Lignite,1.0 Tonnes (t),14.40 Gigajoules (GJ),CER Conversions
approximate energy content,Subbituminous,1.0 Tonnes (t),18.80 Gigajoules (GJ),CER Conversions
approximate energy content,Pentanes plus,1.0 Cubic metres (m³),35.17 Gigajoules (GJ),CER Conversions
approximate energy content,Light,1.0 Cubic metres (m³),38.51 Gigajoules (GJ),CER Conversions
approximate energy content,Heavy,1.0 Cubic metres (m³),40.90 Gigajoules (GJ),CER Conversions
